title,author,format,year,price,publisher,length,city/country,categories,description,ISBN
The Body Keeps the Score,Bessel van der Kolk,Paperback,2015,1389.4,Penguin Books Ltd,560 pages,"London, United Kingdom","['Psychology', 'Abnormal Psychology', 'Psychiatry', 'Clinical Psychology', 'Trauma & Shock', 'Health Books', 'Popular Medicine & Health', 'Popular Psychology', 'Complementary Therapies, Healing & Health', 'Mind, Body, Spirit: Meditation & Visualisation']","THE NEW YORK TIMES BESTSELLER'An astonishing and important book. The trauma Bible. I  cannot recommend it enough for anyone struggling with...well...anything' Tara WestoverThe effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world's experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.'Dr. van der Kolk's masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller' Judith Herman, author of Trauma and Recoveryshow more",978-6824251856
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Paperback,2019,1002.65,Pan Macmillan,224 pages,"London, United Kingdom","['Fiction Books', 'Contemporary Fiction', 'Science Fiction', 'Science Fiction', 'Fiction In Translation', 'Fantasy Books for Kids']","Translated from Japanese by Geoffrey Trousselot, Toshikazu Kawaguchi's beautiful, moving Before the coffee gets cold explores the age-old question: what would you do if you could travel back in time? More importantly, who would you want to meet, maybe for one last time?In a small back alley in Tokyo, there is a cafe which has been serving carefully brewed coffee for more than one hundred years. But this coffee shop offers its customers a unique experience: the chance to travel back in time.In Before the coffee gets cold, we meet four visitors, each of whom is hoping to make use of the cafe's time-travelling offer, in order to: confront the man who left them, receive a letter from their husband whose memory has been taken by early onset Alzheimer's, see their sister one last time, and meet the daughter they never got the chance to know.But the journey into the past does not come without risks: customers must sit in a particular seat, they cannot leave the cafe, and finally, they must return to the present before the coffee gets cold . . .show more",978-5616715375
It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,Paperback,2016,972.63,Simon & Schuster Ltd,384 pages,"London, United Kingdom","['Fiction Books', 'Contemporary Fiction', 'Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance', 'Poverty  & Unemployment']","A brave and heartbreaking novel that digs its claws into you and doesn't let go, long after you've finished it' Anna Todd, author of the After series 'A glorious and touching read, a forever keeper' USA Today 'Will break your heart while filling you with hope' Sarah Pekkanen, Perfect Neighbors SOMETIMES THE ONE WHO LOVES YOU IS THE ONE WHO HURTS YOU THE MOST. Lily hasn't always had it easy, but that's never stopped her from working hard for the life she wants. She's come a long way from the small town in Maine where she grew up - she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily's life suddenly seems almost too good to be true. Ryle is assertive, stubborn, maybe even a little arrogant. He's also sensitive, brilliant, and has a total soft spot for Lily, but Ryle's complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his 'no dating' rule, she can't help but wonder what made him that way in the first place. As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan - her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. With this bold and deeply personal novel, It Ends With Us is a heart-wrenching story and an unforgettable tale of love that comes at the ultimate price.show more",978-0504822011
I'm a Fan,Sheena Patel,Paperback,2023,991.78,Granta Books,144 pages,"London, United Kingdom","['Fiction Books', 'Contemporary Fiction', 'Political & Legal', 'Political & Legal']","LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTION 2023LONGLISTED FOR THE DYLAN THOMAS PRIZE 2023LONGLISTED FOR THE REPUBLIC OF CONSCIOUSNESS PRIZE 2023AN OBSERVER BEST DEBUT NOVEL OF 2022I'M A FAN tells the story of an unnamed narrator's involvement in a seemingly unequal romantic relationship. With a clear and unforgiving eye, Sheena Patel makes startling connections between power struggles at the heart of human relationships to those in the wider world, offering a devastating critique of social media, access and patriarchal systems.show more",978-9839237016
The Letters I Will Never Send,Isabella Dorta,Paperback,2023,1479.48,Ebury Publishing,240 pages,"London, United Kingdom","['Diaries, Letters & Journals', 'Creative Writing & Creative Writing Guides', 'Poetry Books', 'Assertiveness, Motivation & Self-esteem']","these letters thus far have remained unsent, i want you to change that for me.'Embrace honesty and heal beautifully.In the letters i will never send, TikTok poet Isabella Dorta urges you to leave nothing unsaid and take comfort in moving poems on love, heartbreak, mental health and self-discovery.With beautiful line illustrations and over 100 poems written in the form of confessional letters addressed to the most influential figures in your life:Your younger selfYour future selfYour loverYour bodyYour familyand moreTake the ultimate step. Read, rip out, burn or send the letters out into the world. Write your own and share them with the people in your life. Just don't hold back!show more",978-7105554123
Foster,Claire Keegan,Paperback,2022,1017.19,Faber & Faber,96 pages,"London, United Kingdom","['Fiction Books', 'Contemporary Fiction']","** Adapted into the Oscar-nominated film adaptation, An Cailin Ciuin / The Quiet Girl **From the author of the Booker-shortlisted Small Things Like These, a heartbreaking, haunting story of childhood, loss and love by one of Ireland's most acclaimed writers.'A real jewel.' Irish Independent'A small miracle.' Sunday Times'A thing of finely honed beauty.' Guardian'Thrilling.' Richard Ford'As good as Chekhov.' David MitchellIt is a hot summer in rural Ireland. A girl is sent to live with foster parents on a farm, not knowing when she will return home. In the strangers' house, she finds a warmth and affection she has not known before and slowly begins to blossom in their care. But in a house where there are meant to be no secrets, she discovers how fragile her idyll is.show more",978-5811586538
Zero Waste Patterns,Birgitta Helmersson,Paperback,2023,2499.09,Quadrille Publishing Ltd,192 pages,"London, United Kingdom","['Fashion & Textiles: Design', 'Needlework & Fabric Crafts', 'Fashion & Style Guides']","Zero Waste Patterns offers a modern approach to sustainable sewing. Using natural fabrics and core sewing techniques, learn how to stitch without waste and make a scandi-style collection of 20 garments.Zero waste pattern cutting is a bit like a puzzle. You use a pre-determined length of fabric end to end by strategically planning your pattern pieces so that everything is used and then draw them onto the fabric. By using this unique ""paperless"" method you can eliminate both textile and paper waste from your sewing projects and take the fear out of learning to self draft and sew your own clothing.This book includes 5 simple zero waste pattern blocks-a t-shirt, skirt, tank top, shirt, and trousers. These can then be used to make a further 15 projects by making simple changes or mixing and matching your blocks into new designs, and comes with pattern layout instructions and templates to make sizes UK 6-30/US 2-26.Once you have mastered the 5 blocks the possibilities are endless.show more",978-9657554887
Things We Never Got Over,Lucy Score,Paperback,2022,998.39,Hodder & Stoughton,496 pages,"London, United Kingdom","['Fiction Books', 'Contemporary Fiction', 'Thriller Books', 'Thrillers', 'Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance']","THE NEW YORK TIMES BESTSELLERTHE UNMISSABLE TIKTOK SENSATIONOVER 1.6 MILLION COPIES SOLD WORLDWIDEGrumpy, small-town barber + hopelessly romantic runaway bride = great big bust ups, all the tension and lots of steamy encounters!Escaping her seemingly perfect wedding, Naomi Witt arrives in rough-around-the-edges Knockemout, Virginia, running to the rescue of her estranged twin, Tina.Too bad for Naomi her evil twin hasn't changed at all. After helping herself to Naomi's car and cash, Tina leaves her with something unexpected: the 11-year-old niece she didn't know she had. Now she's stuck in town with no job, no plan, no home and a whole lot of extra responsibility.There's a reason local barber Knox doesn't do complications or high-maintenance women, especially not the romantic ones. But since Naomi's life imploded right in front of him, the least he can do is help her out of her jam. And just as soon as she stops getting into trouble, he can leave her alone and get back to his peaceful, solitary life.At least that's the plan, until their lives begin to entwine in ways they never imagined . . .*New York Times bestseller, 18 weeks from October 2022 - February 2023*'I laughed. I cried. I laughed while I cried, and I definitely blushed' Book Addictshow more",978-3227585760
Daisy Jones and The Six,Taylor Jenkins Reid,Paperback,2020,1122.1,Cornerstone,432 pages,"London, United Kingdom","['Techniques Of Music / Music Tutorials', 'Techniques Of Music / Music Tutorials', 'Contemporary Fiction', 'Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance', 'Historical Romance', 'Historical Romance', 'Historical Fiction']","NOW A SMASH HIT AMAZON PRIME TV STARRING SAM CLAFLIN, RILEY KEOUGH AND CAMILA MORRONETHE SUNDAY TIMES AND NEW YORK TIMES BESTSELLERFrom the author of THE SEVEN HUSBANDS OF EVELYN HUGO and the bestselling MALIBU RISING'I LOVE it . . . I can't remember the last time I read a book that was so fun' DOLLY ALDERTONEverybody knows Daisy Jones and the Six.From the moment Daisy walked barefoot on to the stage at the Whisky, she and the band were a sensation.Their sound defined an era. Their albums were on every turntable. They played sold-out arenas from coast to coast.Then, on 12 July 1979, it all came crashing down.They were lovers, friends, brothers. But they were also rivals.This is the story of their legendary rise and irrevocable fall. A story of ambition, desire, heartbreak and music.Everyone was there. Everyone remembers it differently. Nobody knew why they split. Until now...'The verdict: Daisy Jones steals the limelight' STYLIST'New obsession, incoming' TELEGRAPH'I didn't want this book to end' FEARNE COTTON'Utterly believable . . . fantastically enjoyable' THE TIMES'Pitch perfect' SUNDAY TIMES'Reads like an addictive Netflix documentary meets A Star Is Born - despite being utterly fictional. It's also a call-to-arms that when you find your niche, don't doubt, embrace it' EMERALD STREET'Well observed, sensitively told . . . a great read' BBC'A tremendously engaging, and completely believable tale of rock and roll excess... inventive, persuasive and completely satisfying' DYLAN JONES'I spent a lost weekend in this book. Daisy Jones is an instant icon' ERIN KELLY'DAISY JONES & THE SIX is a transporting novel - at once a love story, a glimpse into the combustible inner workings of a rock-and-roll band, and a pitch-perfect recreation of the music scene of the Fleetwood Mac era. You'll never want it to end' CECILIA AHERN'Once in a blue moon you get to discover a book you end up pressing upon many other people to read. Taylor Jenkins Reid has got every nuance, every detail exact and right. I loved every word' PAUL REES'So brilliantly written I thought all the characters were real . . . I couldn't put it down' EDITH BOWMAN'Explosive . . . a gorgeous novel and a ravishing read' SUNDAY EXPRESS'The characters leap off the page, seducing you with their dramas, and making you wish the band was real' HEAT'The heady haze of the 70s music scene, and a perfectly flawed Daisy, combine to create a fresh, rock n roll read. I loved it' ALI LAND, author of Good Me Bad Meshow more",978-2578967061
Me vs Brain,Hayley Morris,Hardback,2023,1874.27,Cornerstone,304 pages,"London, United Kingdom","['Other Performing Arts', 'Other Performing Arts', 'Autobiography: General', 'Biography: Arts & Entertainment', 'Personal Development', 'Popular Psychology', 'Funny Books & Stories']","THE SUNDAY TIMES BESTSELLER. ORDER THE HILARIOUS BOOK FROM TIKTOK AND INSTA SENSATION HAYLEY MORRIS, NOW!_____'An insightful, intimate account of modren life that is a joy to read, with shades of Dolly Alderton's Everything I Know About Love.' - Scarlett Sangster, iNewsBrain: We left the oven on!Me: No don't say that, I've not got time for this!Brain: The house is probably on fire!Me: Stop it, I need to write this book description.Brain: But the blazing fire.Me: We didn't even use the oven today.Brain: But what if -Me: No. We're not doing this, I'm finishing this description.Hello there! Hayley Morris here. Or you might know me as the Brain Girl, and don't be fooled...it's not because I'm outrageously smart. Just an avid overthinker. I'm on a mission to prove once and for all that You. Are. Normal. Running through imaginary arguments whilst showering, hiding your knickers in the nurse's office before they look directly into your vagina, or not knowing how to be a normal human when you have the plumber over. I've spent the majority of my life saying and doing embarrassing things that wake me up in a cold sweat at 3am as my Brain reminds me of every minor detail.In this book, I've overthought absolutely everything so you don't have to. I'll be talking about everything from dating to discharge, mental health to menstrual cups. I might not be able to banish your anxiety or make you feel 100% comfortable in your skin, but I hope I can at least give you a break from the constant brain chatter and we can rejoice and laugh at how similar we actually all are.DON'T OVERTHINK IT. ORDER NOW.'Hilarious...I absolutely loved this book! I almost wet myself from laughing!' Dr Amir Khanshow more",978-4835317017
"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,Hardback,2019,1764.85,Ebury Publishing,128 pages,"London, United Kingdom","['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Social & Political Philosophy', 'Popular Philosophy', 'Family & Relationships', 'Personal Development', 'Assertiveness, Motivation & Self-esteem', 'Mind, Body & Spirit', 'Mind, Body, Spirit: Thought & Practice', 'Non-Fiction']","A book for all ages, a book for all time.Adapted into a short animated film, coming this Christmas.Enter the world of Charlie's four unlikely friends, discover their story and their most important life lessons.The boy, the mole, the fox and the horse have been shared millions of times online. They've also been recreated by children in schools and hung on hospital walls. They sometimes even appear on lamp posts and on cafe and bookshop windows. Here, you will find them together in this book of Charlie's most-loved drawings, adventuring into the Wild and exploring the thoughts and feelings that unite us all.'A wonderful work of art and a wonderful window into the human heart' Richard Curtisshow more",978-4043183088
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Manhua) Vol. 1,Mo Xiang Tong Xiu,Paperback,2023,1830.23,"Seven Seas Entertainment, LLC",216 pages,"West Hollywood, United States","['Contemporary Fiction', 'Fantasy', 'Fantasy Books', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga']","Also known as MDZS, the comic/manhua version of the New York Times bestselling novels from China that also inspired an animated adaptation and the live-action series The Untamed! Experience this historical fantasy tale of two powerful men who find each other through life and death in this English version of the beautiful, full-color comic!Feared and hated for his sinister abilities, Wei Wuxian-the grandmaster of demonic cultivation-was driven to his death when the most powerful clans united to destroy him.Thirteen years later, Wei Wuxian is reborn. Summoned by a young man who sacrificed his soul in a forbidden ritual, Wei Wuxian is now bound to seek vengeance on the stranger's behalf or risk the destruction of his own soul. But when an evil entity emerges, a familiar face from Wei Wuxian's past suddenly appears amidst the chaos-a powerful cultivator who will help shine a light on the dark truths that surround them.Don't miss this full-color xianxia fantasy manhua/comic from China about two powerful men who are drawn to each other through war and across lifetimes!show more",978-1858467816
Icebreaker,Hannah Grace,Paperback,2023,1191.77,Simon & Schuster Ltd,448 pages,"London, United Kingdom","['Romance', 'Romance Books', 'Adult & Contemporary Romance', 'Adult & Contemporary Romance']","A TikTok sensation! Sparks fly when a competitive figure skater and hockey team captain are forced to share a rink.Anastasia Allen has worked her entire life for a shot at Team USA. It looks like everything is going according to plan when she gets a full scholarship to the University of California, Maple Hills and lands a place on their competitive figure skating team.Nothing will stand in her way, not even the captain of the hockey team, Nate Hawkins.Nate's focus as team captain is on keeping his team on the ice. Which is tricky when a facilities mishap means they are forced to share a rink with the figure skating team-including Anastasia, who clearly can't stand him.But when Anastasia's skating partner faces an uncertain future, she may have to look to Nate to take her shot.Sparks fly, but Anastasia isn't worried... because she could never like a hockey player, right?show more",978-2185337626
The Psychology of Money,Morgan Housel,Paperback,2020,1416.43,Harriman House Publishing,256 pages,"Petersfield, United Kingdom","['Monetary Economics', 'Monetary Economics', 'Finance', 'Investment & Securities', 'Small Businesses & Self-employed', 'Personal Finance']","Doing well with money isn't necessarily about what you know. It's about how you behave. And behavior is hard to teach, even to really smart people.Money-investing, personal finance, and business decisions-is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don't make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together.In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life's most important topics.show more",978-7436754283
